Question,Answer
What is (are) Non-Small Cell Lung Cancer ?,"Key Points
  - Non-small cell lung cancer is a disease in which malignant (cancer) cells form in the tissues of the lung. - There are several types of non-small cell lung cancer. - Smoking is the major risk factor for non-small cell lung cancer. - Signs of non-small cell lung cancer include a cough that doesn't go away and shortness of breath. - Tests that examine the lungs are used to detect (find), diagnose, and stage non-small cell lung cancer. - Certain factors affect prognosis (chance of recovery) and treatment options. - For most patients with non-small cell lung cancer, current treatments do not cure the cancer.
  
  
  Non-small cell lung cancer is a disease in which malignant (cancer) cells form in the tissues of the lung.
  The lungs are a pair of cone-shaped breathing organs in the chest. The lungs bring oxygen into the body as you breathe in. They release carbon dioxide, a waste product of the bodys cells, as you breathe out. Each lung has sections called lobes. The left lung has two lobes. The right lung is slightly larger and has three lobes. Two tubes called bronchi lead from the trachea (windpipe) to the right and left lungs. The bronchi are sometimes also involved in lung cancer. Tiny air sacs called alveoli and small tubes called bronchioles make up the inside of the lungs. A thin membrane called the pleura covers the outside of each lung and lines the inside wall of the chest cavity. This creates a sac called the pleural cavity. The pleural cavity normally contains a small amount of fluid that helps the lungs move smoothly in the chest when you breathe. There are two main types of lung cancer: non-small cell lung cancer and small cell lung cancer. See the following PDQ summaries for more information about lung cancer: - Small Cell Lung Cancer Treatment - Unusual Cancers of Childhood Treatment - Lung Cancer Prevention - Lung Cancer Screening
  
  
  There are several types of non-small cell lung cancer.
  Each type of non-small cell lung cancer has different kinds of cancer cells. The cancer cells of each type grow and spread in different ways. The types of non-small cell lung cancer are named for the kinds of cells found in the cancer and how the cells look under a microscope: - Squamous cell carcinoma: Cancer that begins in squamous cells, which are thin, flat cells that look like fish scales. This is also called epidermoid carcinoma. - Large cell carcinoma: Cancer that may begin in several types of large cells. - Adenocarcinoma: Cancer that begins in the cells that line the alveoli and make substances such as mucus. Other less common types of non-small cell lung cancer are: pleomorphic, carcinoid tumor, salivary gland carcinoma, and unclassified carcinoma.
  
  
  For most patients with non-small cell lung cancer, current treatments do not cure the cancer.
  If lung cancer is found, taking part in one of the many clinical trials being done to improve treatment should be considered. Clinical trials are taking place in most parts of the country for patients with all stages of non-small cell lung cancer. Information about ongoing clinical trials is available from the NCI website."
What is (are) Uterine Sarcoma ?,"Key Points
  - Uterine sarcoma is a disease in which malignant (cancer) cells form in the muscles of the uterus or other tissues that support the uterus. - Being exposed to x-rays can increase the risk of uterine sarcoma. - Signs of uterine sarcoma include abnormal bleeding. - Tests that examine the uterus are used to detect (find) and diagnose uterine sarcoma. - Certain factors affect prognosis (chance of recovery) and treatment options.
  
  
  Uterine sarcoma is a disease in which malignant (cancer) cells form in the muscles of the uterus or other tissues that support the uterus.
  The uterus is part of the female reproductive system. The uterus is the hollow, pear-shaped organ in the pelvis, where a fetus grows. The cervix is at the lower, narrow end of the uterus, and leads to the vagina. Uterine sarcoma is a very rare kind of cancer that forms in the uterine muscles or in tissues that support the uterus. (Information about other types of sarcomas can be found in the PDQ summary on Adult Soft Tissue Sarcoma Treatment.) Uterine sarcoma is different from cancer of the endometrium, a disease in which cancer cells start growing inside the lining of the uterus. (See the PDQ summary on Endometrial Cancer Treatment for information)."
Is Neuroblastoma inherited ?,"Neuroblastoma is sometimes caused by a gene mutation (change) passed from the parent to the child. Gene mutations that increase the risk of neuroblastoma are sometimes inherited (passed from the parent to the child). In children with a gene mutation, neuroblastoma usually occurs at a younger age and more than one tumor may form in the adrenal glands."
What are the symptoms of Melanoma ?,"Signs of melanoma include a change in the way a mole or pigmented area looks. These and other signs and symptoms may be caused by melanoma or by other conditions. Check with your doctor if you have any of the following: - A mole that: - changes in size, shape, or color. - has irregular edges or borders. - is more than one color. - is asymmetrical (if the mole is divided in half, the 2 halves are different in size or shape). - itches. - oozes, bleeds, or is ulcerated (a hole forms in the skin when the top layer of cells breaks down and the tissue below shows through). - A change in pigmented (colored) skin. - Satellite moles (new moles that grow near an existing mole). For pictures and descriptions of common moles and melanoma, see Common Moles, Dysplastic Nevi, and Risk of Melanoma."
what research (or clinical trials) is being done for Nasopharyngeal Cancer ?,"New types of treatment are being tested in clinical trials.
  Information about clinical trials is available from the NCI website.
  
  
  Patients may want to think about taking part in a clinical trial.
  For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment. Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment. Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
  
  
  Patients can enter clinical trials before, during, or after starting their cancer treatment.
  Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment. Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials."
What are the symptoms of Transitional Cell Cancer of the Renal Pelvis and Ureter ?,Signs and symptoms of transitional cell cancer of the renal pelvis and ureter include blood in the urine and back pain. These and other signs and symptoms may be caused by transitional cell cancer of the renal pelvis and ureter or by other conditions. There may be no signs or symptoms in the early stages. Signs and symptoms may appear as the tumor grows. Check with your doctor if you have any of the following: - Blood in the urine. - A pain in the back that doesn't go away. - Extreme tiredness. - Weight loss with no known reason. - Painful or frequent urination.
How to diagnose Childhood Rhabdomyosarcoma ?,"Diagnostic tests and a biopsy are used to detect (find) and diagnose childhood rhabdomyosarcoma. The diagnostic tests that are done depend in part on where the cancer forms. The following tests and procedures may be used: - Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken. - X-ray : An x-ray of the organs and bones inside the body, such as the chest. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body. - CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the abdomen, pelvis, or lymph nodes, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. - MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas of the body, such as the skull, brain, and lymph nodes. This procedure is also called nuclear magnetic resonance imaging (NMRI). - PET scan (positron emission tomography scan): A procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do. - Bone scan : A procedure to check if there are rapidly dividing cells, such as cancer cells, in the bone. A very small amount of radioactive material is injected into a vein and travels through the bloodstream. The radioactive material collects in the bones with cancer and is detected by a scanner. - Bone marrow aspiration and biopsy : The removal of bone marrow, blood, and a small piece of bone by inserting a hollow needle into the hipbone. Samples are removed from both hipbones. A pathologist views the bone marrow, blood, and bone under a microscope to look for signs of cancer. - Lumbar puncture : A procedure used to collect cerebrospinal fluid (CSF) from the spinal column. This is done by placing a needle between two bones in the spine and into the CSF around the spinal cord and removing a sample of the fluid. The sample of CSF is checked under a microscope for signs of cancer cells. This procedure is also called an LP or spinal tap. If these tests show there may be a rhabdomyosarcoma, a biopsy is done. A biopsy is the removal of cells or tissues so they can be viewed under a microscope by a pathologist to check for signs of cancer. Because treatment depends on the type of rhabdomyosarcoma, biopsy samples should be checked by a pathologist who has experience in diagnosing rhabdomyosarcoma. One of the following types of biopsies may be used: - Fine-needle aspiration (FNA) biopsy : The removal of tissue or fluid using a thin needle. - Core needle biopsy : The removal of tissue using a wide needle. This procedure may be guided using ultrasound, CT scan, or MRI. - Open biopsy : The removal of tissue through an incision (cut) made in the skin. - Sentinel lymph node biopsy : The removal of the sentinel lymph node during surgery. The sentinel lymph node is the first lymph node to receive lymphatic drainage from a tumor. It is the first lymph node the cancer is likely to spread to from the tumor. A radioactive substance and/or blue dye is injected near the tumor. The substance or dye flows through the lymph ducts to the lymph nodes. The first lymph node to receive the substance or dye is removed. A pathologist views the tissue under a microscope to look for cancer cells. If cancer cells are not found, it may not be necessary to remove more lymph nodes. The following tests may be done on the sample of tissue that is removed: - Light microscopy: A laboratory test in which cells in a sample of tissue are viewed under regular and high-powered microscopes to look for certain changes in the cells. - Immunohistochemistry : A test that uses antibodies to check for certain antigens in a sample of tissue. The antibody is usually linked to a radioactive substance or a dye that causes the tissue to light up under a microscope. This type of test may be used to tell the difference between different types of cancer. - FISH (fluorescence in situ hybridization): A laboratory test used to look at genes or chromosomes in cells and tissues. Pieces of DNA that contain a fluorescent dye are made in the laboratory and added to cells or tissues on a glass slide. When these pieces of DNA attach to certain genes or areas of chromosomes on the slide, they light up when viewed under a microscope with a special light. This type of test is used to find certain gene changes. - Reverse transcriptionpolymerase chain reaction (RTPCR) test: A laboratory test in which cells in a sample of tissue are studied using chemicals to look for certain changes in the structure or function of genes. - Cytogenetic analysis : A laboratory test in which cells in a sample of tissue are viewed under a microscope to look for certain changes in the chromosomes."
What are the symptoms of Pancreatic Cancer ?,"Signs and symptoms of pancreatic cancer include jaundice, pain, and weight loss. 
  Pancreatic cancer may not cause early signs or symptoms. Signs and symptoms may be caused by pancreatic cancer or by other conditions. Check with your doctor if you have any of the following: - Jaundice (yellowing of the skin and whites of the eyes). - Light-colored stools. - Dark urine. - Pain in the upper or middle abdomen and back. - Weight loss for no known reason. - Loss of appetite. - Feeling very tired.
   
  
  Pancreatic cancer is difficult to detect (find) and diagnose early.
  Pancreatic cancer is difficult to detect and diagnose for the following reasons: - There arent any noticeable signs or symptoms in the early stages of pancreatic cancer. - The signs and symptoms of pancreatic cancer, when present, are like the signs and symptoms of many other illnesses. - The pancreas is hidden behind other organs such as the stomach, small intestine, liver, gallbladder, spleen, and bile ducts."
What is (are) Adult Soft Tissue Sarcoma ?,"Key Points
  - Adult soft tissue sarcoma is a disease in which malignant (cancer) cells form in the soft tissues of the body. - Having certain inherited disorders can increase the risk of adult soft tissue sarcoma. - A sign of adult soft tissue sarcoma is a lump or swelling in soft tissue of the body. - Adult soft tissue sarcoma is diagnosed with a biopsy. - Certain factors affect treatment options and prognosis (chance of recovery).
  
  
  Adult soft tissue sarcoma is a disease in which malignant (cancer) cells form in the soft tissues of the body.
  The soft tissues of the body include the muscles, tendons (bands of fiber that connect muscles to bones), fat, blood vessels, lymph vessels, nerves, and tissues around joints. Adult soft tissue sarcomas can form almost anywhere in the body, but are most common in the head, neck, arms, legs, trunk, and abdomen. There are many types of soft tissue sarcoma. The cells of each type of sarcoma look different under a microscope, based on the type of soft tissue in which the cancer began. See the following PDQ summaries for more information on soft tissue sarcomas: - Childhood Soft Tissue Sarcoma Treatment - Ewing Sarcoma Family of Tumors Treatment - Gastrointestinal Stromal Tumors Treatment - Kaposi Sarcoma Treatment - Uterine Sarcoma Treatment"
Who is at risk for Hypopharyngeal Cancer? ?,Use of tobacco products and heavy drinking can affect the risk of developing hypopharyngeal cancer. Anything that increases your risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesn't mean that you will not get cancer. Talk with your doctor if you think you may be at risk. Risk factors include the following: - Smoking tobacco. - Chewing tobacco. - Heavy alcohol use. - Eating a diet without enough nutrients. - Having Plummer-Vinson syndrome.
