Question,Answer,topic,split;
"What is (are) Non-Small Cell Lung Cancer ?,""Key Points";
                    - Non-small cell lung cancer is a disease in which malignant (cancer) cells form in the tissues of the lung.     - There are several types of non-small cell lung cancer.    - Smoking is the major risk factor for non-small cell lung cancer.    - Signs of non-small cell lung cancer include a cough that doesn't go away and shortness of breath.    - Tests that examine the lungs are used to detect (find), diagnose, and stage non-small cell lung cancer.    - Certain factors affect prognosis (chance of recovery) and treatment options.    - For most patients with non-small cell lung cancer, current treatments do not cure the cancer.;
                ;
                ;
                    Non-small cell lung cancer is a disease in which malignant (cancer) cells form in the tissues of the lung.;
                    The lungs are a pair of cone-shaped breathing organs in the chest. The lungs bring oxygen into the body as you breathe in. They release carbon dioxide, a waste product of the bodys cells, as you breathe out. Each lung has sections called lobes. The left lung has two lobes. The right lung is slightly larger and has three lobes. Two tubes called bronchi lead from the trachea (windpipe) to the right and left lungs. The bronchi are sometimes also involved in lung cancer. Tiny air sacs called alveoli and small tubes called bronchioles make up the inside of the lungs.     A thin membrane called the pleura covers the outside of each lung and lines the inside wall of the chest cavity. This creates a sac called the pleural cavity. The pleural cavity normally contains a small amount of fluid that helps the lungs move smoothly in the chest when you breathe.    There are two main types of lung cancer: non-small cell lung cancer and small cell lung cancer.    See the following PDQ summaries for more information about lung cancer:         -  Small Cell Lung Cancer Treatment     -  Unusual Cancers of Childhood Treatment     -  Lung Cancer Prevention     -  Lung Cancer Screening;
                ;
                ;
                    There are several types of non-small cell lung cancer.;
                    Each type of non-small cell lung cancer has different kinds of cancer cells. The cancer cells of each type grow and spread in different ways. The types of non-small cell lung cancer are named for the kinds of cells found in the cancer and how the cells look under a microscope:         -  Squamous cell carcinoma: Cancer that begins in squamous cells, which are thin, flat cells that look like fish scales. This is also called epidermoid carcinoma.    -  Large cell carcinoma: Cancer that may begin in several types of large cells.    -  Adenocarcinoma: Cancer that begins in the cells that line the alveoli and make substances such as mucus.         Other less common types of non-small cell lung cancer are: pleomorphic, carcinoid tumor, salivary gland carcinoma, and unclassified carcinoma.;
                ;
                ;
                    For most patients with non-small cell lung cancer, current treatments do not cure the cancer.;
"                    If lung cancer is found, taking part in one of the many clinical trials being done to improve treatment should be considered. Clinical trials are taking place in most parts of the country for patients with all stages of non-small cell lung cancer. Information about ongoing clinical trials is available from the NCI website."",cancer,train";
